Learning,RMSE
0.002,0.250628223
0.0032,0.244298775
0.0044,0.24049886
0.0056,0.238152127
0.0068,0.23701236
0.008,0.236224413
0.0092,0.235680298
0.0104,0.235360896
0.0116,0.23518542
0.0128,0.235112202
0.014,0.235055982
